Date de comptabilisation;Libelle simplifie;Libelle operation;Reference;Informations complementaires;Type operation;Categorie;Sous categorie;Debit;Credit;Date operation;Date de valeur;Pointage operation
06/04/2026;VIR SEPA ENTREPRISE;VIREMENT SEPA RECU ENTREPRISE SALAIRE AVRIL;REF845120;;Virement;Revenus;Salaires;;2450,00;05/04/2026;05/04/2026;0
08/04/2026;CARREFOUR LYON;CB CARREFOUR LYON FACT 070426;CB4512;;Carte bancaire;Vie quotidienne;Supermarche;-92,34;;07/04/2026;08/04/2026;0
09/04/2026;LOYER AGENCE IMMO;PRLV SEPA AGENCE IMMO LOYER;PRLV7841;;Prelevement;Logement;Loyer;-780,00;;09/04/2026;09/04/2026;0
10/04/2026;NETFLIX;PRLV SEPA NETFLIX INTERNATIONAL;PRLV1123;;Prelevement;Loisirs;Streaming;-13,49;;10/04/2026;10/04/2026;0
15/04/2026;SPOTIFY;PRLV SEPA SPOTIFY AB1245;PRLV9981;;Prelevement;Loisirs;Musique;-10,99;;15/04/2026;15/04/2026;0
17/04/2026;EDF;PRLV SEPA EDF CLIENTS PARTICULIERS;PRLV3321;;Prelevement;Logement;Energie;-89,00;;17/04/2026;17/04/2026;0
21/04/2026;SNCF CONNECT;CB SNCF CONNECT FACT 200426;CB7845;;Carte bancaire;Transports;Train;-54,00;;20/04/2026;21/04/2026;0
26/04/2026;PHARMACIE BELLECOUR;CB PHARMACIE BELLECOUR FACT 250426;CB1289;;Carte bancaire;Sante;Pharmacie;-18,40;;25/04/2026;26/04/2026;0
06/05/2026;VIR SEPA ENTREPRISE;VIREMENT SEPA RECU ENTREPRISE SALAIRE MAI;REF845121;;Virement;Revenus;Salaires;;2450,00;05/05/2026;05/05/2026;0
09/05/2026;LOYER AGENCE IMMO;PRLV SEPA AGENCE IMMO LOYER;PRLV7842;;Prelevement;Logement;Loyer;-780,00;;09/05/2026;09/05/2026;0
10/05/2026;NETFLIX;PRLV SEPA NETFLIX INTERNATIONAL;PRLV1124;;Prelevement;Loisirs;Streaming;-13,49;;10/05/2026;10/05/2026;0
12/05/2026;CARREFOUR LYON;CB CARREFOUR LYON FACT 110526;CB4513;;Carte bancaire;Vie quotidienne;Supermarche;-105,67;;11/05/2026;12/05/2026;0
15/05/2026;SPOTIFY;PRLV SEPA SPOTIFY AB1245;PRLV9982;;Prelevement;Loisirs;Musique;-10,99;;15/05/2026;15/05/2026;0
17/05/2026;EDF;PRLV SEPA EDF CLIENTS PARTICULIERS;PRLV3322;;Prelevement;Logement;Energie;-89,00;;17/05/2026;17/05/2026;0
23/05/2026;RESTAURANT LE BOUCHON;CB RESTAURANT LE BOUCHON FACT 220526;CB9912;;Carte bancaire;Loisirs;Restaurant;-47,50;;22/05/2026;23/05/2026;0
06/06/2026;VIR SEPA ENTREPRISE;VIREMENT SEPA RECU ENTREPRISE SALAIRE JUIN;REF845122;;Virement;Revenus;Salaires;;2450,00;05/06/2026;05/06/2026;0
09/06/2026;LOYER AGENCE IMMO;PRLV SEPA AGENCE IMMO LOYER;PRLV7843;;Prelevement;Logement;Loyer;-780,00;;09/06/2026;09/06/2026;0
10/06/2026;NETFLIX;PRLV SEPA NETFLIX INTERNATIONAL;PRLV1125;;Prelevement;Loisirs;Streaming;-13,49;;10/06/2026;10/06/2026;0
10/06/2026;CARREFOUR LYON;CB CARREFOUR LYON FACT 090626;CB4514;;Carte bancaire;Vie quotidienne;Supermarche;-88,12;;09/06/2026;10/06/2026;0
