Date;Libellé;Montant
05/01/2026;VIREMENT SALAIRE ENTREPRISE;2450,00
07/01/2026;CARREFOUR LYON PART DIEU;-86,42
09/01/2026;LOYER APPARTEMENT;-780,00
10/01/2026;PRELEVEMENT NETFLIX;-13,49
12/01/2026;SNCF BILLET TGV;-54,00
15/01/2026;PHARMACIE DE LA GARE;-23,90
18/01/2026;RESTAURANT LE BOUCHON;-47,50
22/01/2026;PRELEVEMENT SPOTIFY;-10,99
25/01/2026;TOTAL STATION ESSENCE;-62,30
28/01/2026;AUCHAN DRIVE;-104,15
05/02/2026;VIREMENT SALAIRE ENTREPRISE;2450,00
09/02/2026;LOYER APPARTEMENT;-780,00
10/02/2026;PRELEVEMENT NETFLIX;-13,49
11/02/2026;CARREFOUR LYON PART DIEU;-93,27
14/02/2026;CINEMA PATHE BELLECOUR;-24,00
17/02/2026;PRELEVEMENT EDF ELECTRICITE;-89,00
20/02/2026;BOULANGERIE DU MARCHE;-8,60
22/02/2026;PRELEVEMENT SPOTIFY;-10,99
26/02/2026;TCL ABONNEMENT TRANSPORT;-65,00
05/03/2026;VIREMENT SALAIRE ENTREPRISE;2450,00
09/03/2026;LOYER APPARTEMENT;-780,00
10/03/2026;PRELEVEMENT NETFLIX;-13,49
13/03/2026;LECLERC COURSES;-118,73
19/03/2026;DOCTEUR MARTIN CONSULTATION;-30,00
24/03/2026;FNAC LYON;-79,99
